State,All Other Covered Animals,Cats,Dogs,Guinea Pigs,Hamsters,Nonhuman Primates,Other Farm Animals,Pig,Rabbits,Sheep,Total
AK,25,0,0,0,0,0,0,0,0,0,25
AL,730,132,141,0,0,0,39,"1,249",23,3,"2,317"
AR,5,25,94,0,1,56,0,0,40,0,221
AZ,81,2,9,0,0,6,0,29,4,19,150
CA,"4,781",138,161,104,207,"3,596",692,47,"2,455",57,"12,238"
CO,827,15,19,44,16,0,3,4,0,51,979
CT,125,2,0,1,0,16,0,0,2,0,146
DC,0,18,0,142,37,361,0,5,8,0,571
DE,0,0,0,0,0,0,140,0,"3,960",54,"4,154"
FL,832,30,14,1,66,"3,923",0,5,0,4,"4,875"
GA,787,11,0,0,12,"1,880",0,0,7,0,"2,697"
HI,0,0,0,0,0,0,0,0,0,0,0
IA,291,0,2,0,82,0,122,"2,444",3,1,"2,945"
ID,282,2,1,0,0,0,0,0,7,0,292
IL,375,26,99,15,0,126,18,14,107,11,791
IN,256,17,70,68,328,89,0,2,14,0,844
KS,3,47,114,12,1,10,0,15,7,0,209
KY,171,11,0,0,0,0,86,174,3,49,494
LA,32,31,19,0,0,"9,741",63,0,8,3,"9,897"
MA,"4,195",0,263,199,359,"1,161",850,200,760,13,"8,000"
MD,"4,838",2,0,558,750,"4,702",8,19,43,1,"10,921"
ME,0,0,0,0,0,0,87,0,39,0,126
MI,420,65,142,"13,102",15,760,0,4,46,0,"14,554"
MN,2,0,74,956,34,0,0,308,376,31,"1,781"
MO,409,208,247,246,96,20,9,329,24,0,"1,588"
MS,22,0,1,0,0,17,0,0,0,0,40
MT,425,0,0,67,0,0,3,0,0,0,495
NC,47,27,14,134,0,3,0,46,57,12,340
ND,0,0,0,0,0,0,0,0,0,184,184
NE,0,0,0,0,0,0,0,2,2,0,4
NH,0,0,0,0,0,0,0,0,0,0,0
NJ,43,13,272,200,"1,067",378,0,0,550,12,"2,535"
NM,113,15,2,0,17,149,0,0,0,0,296
NV,0,0,0,5,0,0,0,0,7,0,12
NY,"1,388",26,16,63,75,140,23,0,41,0,"1,772"
OH,"1,721",130,58,"1,767",13,14,0,46,647,15,"4,411"
OK,32,9,29,46,0,612,0,2,10,24,764
OR,112,0,0,4,0,"2,792",18,0,0,0,"2,926"
PA,"1,571",161,126,"1,745",349,123,127,21,"2,108",296,"6,627"
PR,0,0,0,0,0,0,0,0,0,0,0
RI,105,0,0,15,0,0,0,0,0,0,120
SC,"2,996",0,0,1,0,0,0,0,0,0,"2,997"
SD,0,0,0,0,0,0,46,0,0,17,63
TN,617,29,15,0,351,129,11,0,0,0,"1,152"
TX,"9,287",46,81,34,9,"1,944",150,146,"4,498",100,"16,295"
UT,24,0,0,0,116,37,51,0,20,23,271
VA,73,3,10,7,33,9,3,451,37,0,626
VT,0,0,0,0,0,0,0,0,0,0,0
WA,486,0,56,312,67,"3,951",70,41,303,3,"5,289"
WI,"1,006",54,"3,635",76,94,"1,888",0,230,454,61,"7,498"
WV,"1,813",0,0,0,0,0,0,0,9,15,"1,837"
WY,25,0,0,0,0,0,0,0,0,50,75